id_cliente,recencia,frequencia,valor_total,ticket_medio,tenure_dias,qt_devolucoes,valor_devolvido,R,F,M,segmento,loja,churn_proba,churn_previsto,faixa_risco,churn_real,conjunto
77C46F588F7393949E9AD3490A5459D2,2,25,3736.96,133.46,379,0,0.0,5,4,5,Campeoes,1,0.0467557174953399,0,Baixo,0,treino
A531EC18D5F559734493A454888EA041,2,18,1710.89,95.05,375,0,0.0,5,4,4,Campeoes,1,0.0830535582230797,0,Baixo,0,treino
B83BAB7CA72EE921E4E8B94577494E4C,8,56,3895.49,59.93,415,1,32.09,4,5,5,Campeoes,2,0.009621927546157,0,Baixo,0,treino
BAE2B5CE58877E780E4048878C518531,8,66,741.26,10.59,423,0,0.0,4,5,3,Leais,2,0.0363284075161705,0,Baixo,0,treino
CA91A79DE81BFE60F98E22B036571CA4,3,92,4873.74,51.3,423,0,0.0,5,5,5,Campeoes,1,0.0053283876154068,0,Baixo,0,treino
CD17AA45C8E930EE8268B18B78F3FD0C,2,167,5726.64,30.95,422,0,0.0,5,5,5,Campeoes,1,0.0008724718532089,0,Baixo,0,teste
4E694FDEAE3AF65CAD427E3774BF4A8D,2,53,3021.93,53.96,398,0,0.0,5,5,5,Campeoes,1,0.013108880786597,0,Baixo,0,treino
A15D77DD473D3ABCF5596F080C67A49D,1,32,2689.42,79.1,421,0,0.0,5,4,5,Campeoes,2,0.0374153432176578,0,Baixo,0,treino
18862EC4E940DDB6A323C4FFA68DCC3E,0,33,1993.29,53.87,413,0,0.0,5,4,4,Campeoes,1,0.0510152306013355,0,Baixo,0,treino
C4A4FCB8A1A7009CE79F6B805D426C71,7,107,9294.91,81.53,419,0,0.0,4,5,5,Campeoes,1,0.0058567732144697,0,Baixo,0,teste
8E9EE816C6D1923F1DBA2E77A4EA480C,38,18,1196.59,62.98,405,0,0.0,3,4,4,Atencao,1,0.1882598966030489,0,Baixo,0,teste
A30CCACE178926D07BB6D1861621EE2B,0,175,10922.01,54.07,420,0,0.0,5,5,5,Campeoes,1,0.0004592867572539,0,Baixo,0,treino
22A76A9557416EDD642A999F371EFEB0,2,70,5927.01,81.19,418,0,0.0,5,5,5,Campeoes,1,0.0078842170180236,0,Baixo,0,treino
E3A4B4414F2FAEDF48BF33AFBD1A9298,60,3,90.93,30.31,74,0,0.0,3,2,2,Atencao,1,0.755138618724867,1,Alto,0,treino
8A32FF112EB6F42A7B06DC278CFB0703,2,18,811.09,45.06,408,0,0.0,5,4,3,Leais,1,0.1096440742809462,0,Baixo,0,treino
D5367D57AD334A63E7962CAD53710CCE,40,49,2356.42,45.32,423,0,0.0,3,5,4,Atencao,2,0.1226906608427294,0,Baixo,0,treino
C45521D9DD0EC61689B727CFE81BFAD2,9,16,1074.37,59.69,305,0,0.0,4,4,4,Campeoes,1,0.116722882793916,0,Baixo,0,treino
A3B4E5C3D2B9AA863FEF299137C9A1FE,1,81,11738.24,122.27,420,0,0.0,5,5,5,Campeoes,1,0.0050246138330732,0,Baixo,0,treino
E4558345A2D1AA573C5FD8217D821CA5,93,35,1126.86,31.3,393,0,0.0,2,5,4,Em risco (alto valor),2,0.4488343163257973,1,Medio,0,treino
7913603AB5596940E528768838751496,11,34,3207.52,89.1,413,0,0.0,4,5,5,Campeoes,1,0.0339936338145971,0,Baixo,0,teste
F0ED39D99CAECA9039854A3EC8098773,10,11,4645.99,357.38,318,0,0.0,4,3,5,Leais,1,0.2297370523091976,0,Baixo,0,teste
199CCE25C8DAA05A339D6513C5E0B21D,5,29,1455.07,50.17,397,0,0.0,4,4,4,Campeoes,2,0.0800275587778058,0,Baixo,0,treino
